,in,out1,out2
0,1901SpringE,EDI3556:LVP3491:LON3371,EDI24689:LVP24015:LON22896
1,1901SpringF,PAR3730:MAR3658:BRE3590,MAR24595:PAR24037:BRE23145
2,1901SpringI,NAP2417:ROM2272:VEN2118,NAP24629:ROM22885:VEN22376
3,1901SpringG,KIE4129:BER3996:MUN3545,KIE25787:BER24326:MUN22445
4,1901SpringA,BUD3501:TRI3310:VIE2844,BUD23956:TRI23018:VIE19703
5,1901SpringT,CON5368:SMY5219:ANK3235,CON25695:SMY24653:ANK14744
6,1901SpringR,STP(SouthCoast)4950:MOS4923:WAR4311:SEV2546,STP(SouthCoast)24342:MOS24302:WAR21149:SEV13631
7,1901FallE,NTH3132:NWG2226:YOR1685:EDI1000:ENC879:WAL398:LON238:LVP170:CLY5,NTH20000:NWG13849:YOR10898:EDI6734:ENC5384:LON3595:LVP2972:WAL2924:CLY67:BAR2:SKA1
8,1901FallF,MAO2794:SPA2173:BUR1467:PIC1306:MAR1137:GAS427:ENC348:BRE267:PAR190:PIA57,MAO17303:SPA15029:BUR7728:PIC7641:MAR6819:BRE3523:PAR3026:GAS2858:ENC1687:PIA551:POR6:WMS3:SPA(NorthCoast)2:NAF1:SPA(SouthCoast)1:NAO1
9,1901FallI,IOS1951:VEN1605:APU735:TYR469:NAP409:PIA328:TYS303:ROM288:TUS197:TRI150,IOS17734:VEN15719:APU6052:NAP5909:ROM4867:TYS4392:PIA3905:TYR3112:TUS2977:TRI904:GOL6:ADS1:BOH1
10,1901FallG,KIE3433:RUH2099:DEN1353:HOL1065:MUN860:BUR253:BER196:SIL162:PRU117:TYR76:BAL58:HEL57:BOH32,KIE18602:RUH11129:DEN8264:HOL7339:MUN6954:BER3009:SIL1490:BUR1141:PRU997:HEL687:TYR490:BAL475:BOH434:SKA2:BEL2:WAR1
11,1901FallA,SER2446:ALB2403:TRI1262:BUD908:VIE579:GAL539:RUM280:ADS193:TYR149:BOH31:VEN24,SER14404:ALB12460:TRI10646:BUD7243:VIE6122:RUM2626:GAL2565:ADS2231:TYR1216:BOH496:VEN185:IOS13:APU8:GRE7:SIL2:UKR2:MUN2:PIA1:BUL1
12,1901FallT,BUL3547:CON2973:ANK2084:BLA1555:ARM619:SMY532:SYR2,BUL14557:CON12759:ANK10965:BLA5418:SMY3850:ARM2698:SYR24
13,1901FallR,GOB4145:UKR3553:SEV2255:GAL1546:WAR1378:RUM1229:STP756:BLA625:LIV322:MOS297:STP(SouthCoast)221:SIL191:FIN170:PRU71:ARM22:BUD1,GOB17178:UKR14714:SEV10846:WAR9788:RUM6183:GAL5400:STP3153:MOS2658:STP(SouthCoast)2486:BLA2235:LIV2158:SIL834:FIN761:PRU376:ARM154:BAL9:BUD1:ANK1:BOH1
14,1902SpringE,LON2616:NWY2524:NTH2335:EDI1715:BEL826:LVP649:ENC587:YOR586:NWG554:DEN342:HOL174:WAL144:BAR135:BRE101:MAO52:SKA50:PIC14:CLY3:HEL1:NAO1,NTH15264:LON14548:NWY14456:EDI9780:YOR5270:ENC4635:LVP4626:NWG4395:BEL3527:WAL2062:DEN1348:BAR948:HOL697:BRE660:SKA341:MAO307:PIC150:IRS58:NAO55:CLY36:HEL22:POR1
15,1902SpringF,POR2863:PAR2663:BRE2478:MAR2467:SPA2416:BEL1461:BUR775:PIC429:SPA(SouthCoast)376:ENC302:MAO278:MUN168:PIA54:SPA(NorthCoast)51:GAS49:LON42:RUH28:IRS27:WMS25:WAL8:VEN8:NAO7:TUS5:NTH5:NAF5:TYR4,POR16031:SPA15369:PAR15180:MAR14724:BRE13783:BEL6505:BUR5512:PIC3892:MAO2694:SPA(SouthCoast)1803:ENC1683:MUN799:GAS636:SPA(NorthCoast)488:PIA424:WMS222:RUH130:LON120:IRS117:WAL76:TUS73:TYR42:VEN34:NAO30:NAF24:NTH23
16,1902SpringI,NAP1739:TUN1677:VEN1588:IOS921:ROM720:TRI496:TYR463:GRE253:PIA231:APU214:TYS134:VIE100:TUS86:MAR83:SER32:BOH29:BUD27:MUN26:ALB8:AES5:EMS3:ADS2:GOL1,TUN15761:VEN15430:NAP15124:IOS8673:ROM7427:TYR3679:PIA3471:APU2818:TRI2634:TYS2072:TUS1694:GRE1693:MAR630:VIE468:MUN349:BOH169:GOL112:SER107:ALB104:BUD83:ADS69:AES40:EMS19:WMS10
17,1902SpringG,KIE3166:MUN2865:HOL2850:BER2680:DEN2342:BEL1086:RUH916:SWE324:BUR239:SIL178:PRU94:TYR91:NTH71:BAL43:WAR43:BOH43:PAR32:SKA23:HEL23:MAR21:LIV15:VIE13:VEN11:GAS6:TRI4:PIA4:PIC1:GAL1:GOB1,KIE17290:HOL15567:MUN15403:BER14502:DEN12327:RUH5840:BEL4403:SIL1468:SWE1318:BUR1309:PRU702:BOH582:TYR565:BAL383:HEL330:WAR290:NTH209:VIE138:PAR137:LIV116:SKA105:MAR70:VEN34:GAS32:GAL25:GOB21:TRI16:PIA12:PIC3
18,1902SpringA,BUD2538:TRI2442:SER2408:VIE2352:GRE1761:RUM557:ALB492:GAL401:VEN174:ADS115:TYR105:IOS89:BOH63:BUL54:WAR41:SEV23:MUN17:UKR11:SIL5:APU2,TRI14328:SER14271:BUD14180:VIE13237:GRE7061:ALB4004:RUM2473:GAL2231:ADS1773:TYR998:VEN924:IOS514:BOH458:WAR181:BUL179:MUN141:UKR82:SEV58:SIL37:APU34:PIA14
19,1902SpringT,CON3967:BUL3565:SMY3547:ANK2406:BLA2282:GRE1354:RUM588:ARM521:SEV383:AES288:SER228:BUL(SouthCoast)159:BUL(EastCoast)55:SYR5,CON17437:SMY15745:BUL14457:ANK11190:BLA8565:GRE3895:ARM2534:RUM1788:AES1441:SEV1190:SER663:BUL(SouthCoast)523:BUL(EastCoast)207:SYR41
