,in,out1,out2
0,1901SpringE0,EDI3556:LVP3491:LON3371,EDI24689:LVP24015:LON22896
1,1901SpringE9,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
2,1901SpringE41,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
3,1901SpringE4,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
4,1901SpringF0,PAR3730:MAR3658:BRE3590,MAR24595:PAR24037:BRE23145
5,1901SpringF9,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
6,1901SpringF41,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
7,1901SpringF4,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
8,1901SpringI0,NAP2417:ROM2272:VEN2118,NAP24629:ROM22885:VEN22376
9,1901SpringI9,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
10,1901SpringI41,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
11,1901SpringI4,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
12,1901SpringG0,KIE4129:BER3996:MUN3545,KIE25787:BER24326:MUN22445
13,1901SpringG9,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
14,1901SpringG41,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
15,1901SpringG4,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
16,1901SpringA0,BUD3501:TRI3310:VIE2844,BUD23956:TRI23018:VIE19703
17,1901SpringA9,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
18,1901SpringA41,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
19,1901SpringA4,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
20,1901SpringT0,CON5368:SMY5219:ANK3235,CON25695:SMY24653:ANK14744
21,1901SpringT9,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
22,1901SpringT41,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
23,1901SpringT4,"Series([],Name:location,dtype:int64)","Series([],Name:location,dtype:int64)"
24,1901SpringR0,STP(SouthCoast)4950:MOS4923:WAR4311:SEV2546,STP(SouthCoast)24342:MOS24302:WAR21149:SEV13631
