,in,out1,out2
0,1901SPRE,NTH3448:NWG2271:YOR1970:ENC1059:EDI976:WAL479:CLY5:,NTH23295:NWG14481:YOR13386:ENC6949:EDI5647:WAL3654:CLY72:LON6:LVP3:HOL1:NWY1:
1,1901SPRF,MAO2849:SPA2307:BUR2088:PIC1687:PAR648:GAS449:ENC440:PIA75:BRE16:MAR1:,MAO17869:SPA16283:BUR11576:PIC10968:GAS3148:PAR2545:ENC2195:PIA714:BRE270:MAR31:
2,1901SPRI,IOS2084:VEN803:APU788:TYR579:PIA439:NAP402:TYS308:TUS217:TRI177:ROM24:MUN2:VIE1:,IOS18967:APU7004:VEN6532:PIA6002:TYR4473:TYS4470:NAP4289:TUS3554:TRI1126:ROM226:MUN26:VIE4:TUN1:MAR1:
3,1901SPRG,KIE3599:DEN2704:RUH2492:HOL1250:BUR360:SIL239:PRU164:TYR112:BAL73:MUN66:HEL62:BOH41:BER13:VIE10:VEN5:,KIE19917:DEN14190:RUH14167:HOL9194:SIL2108:BUR1602:PRU1299:HEL772:TYR732:BAL634:BOH582:MUN502:BER118:VIE27:VEN21:
4,1901SPRA,SER3031:ALB2626:BUD982:TRI773:GAL732:RUM340:ADS243:TYR187:BOH59:VIE39:VEN27:MUN18:,SER18986:ALB14462:BUD6373:TRI5124:GAL3717:RUM3188:ADS2815:TYR1582:BOH657:VIE325:VEN212:MUN28:SEV1:
5,1901SPRT,BUL5311:CON3990:BLA2115:ARM1198:ANK454:SMY9:SYR3:,BUL24773:CON18643:BLA7991:ARM5301:ANK2168:SMY60:SYR26:SEV3:
6,1901SPRR,GOB4690:UKR4074:GAL2053:RUM1506:STP1126:BLA764:LIV356:SEV302:SIL259:FIN184:WAR158:PRU90:ARM52:MOS12:ANK1:,GOB22190:UKR18671:RUM8032:GAL7278:STP5150:BLA2802:LIV2613:SEV1732:SIL1295:FIN935:WAR732:PRU596:ARM331:MOS148:STP6:ANK4:
7,1901FALE,NWY3050:LON2133:YOR1779:EDI1243:BEL1055:EDI983:LON517:DEN489:LVP479:EDI414:WAL394:HOL244:BAR186:LON170:BRE154:NTH135:LVP117:ENC112:MAO65:SKA61:PIC54:NWG42:BUR11:RUH10:CLY6:LVP5:NAO4:IRS2:HEL2:,NWY18315:YOR11126:LON11010:EDI6616:EDI5655:BEL4733:WAL2693:LVP2668:LON2657:EDI2071:DEN1981:LON1912:NTH1830:ENC1619:BAR1482:HOL1000:BRE927:LVP655:NWG613:SKA517:MAO398:PIC356:RUH133:BUR90:NAO88:IRS70:LVP52:HEL49:CLY42:KIE2:LONVIACONVOY1:POR1:
8,1901FALF,POR3008:PAR2890:BRE2306:BEL1832:MAR1533:SPA1307:MAR862:SPA430:BRE402:PIC284:MUN241:BUR238:MAR182:MAO176:BRE138:ENC136:RUH79:SPA57:LON50:TYR49:PAR46:YOR43:GAS42:WMS39:PIA31:IRS30:DEN25:NTH17:WAL16:VEN11:EDI10:TUS9:NAO7:TRI6:NAF6:BOH6:HOL2:ADS2:HEL2:,POR17374:PAR16237:BRE10542:BEL8160:MAR7759:SPA6986:MAR5419:BRE2493:SPA2103:MAR2031:PIC2020:BUR2008:BRE1893:MAO1565:MUN1011:ENC757:PAR598:SPA536:GAS458:RUH334:WMS291:TYR231:YOR207:LON164:PIA159:IRS157:WAL121:NTH105:TUS105:EDI76:DEN75:TRI52:VEN52:NAF36:NAO34:SIL28:BOH17:HOL14:ADS8:HEL3:KIE1:
9,1901FALI,TUN1776:NAP1684:APU668:VEN642:TRI598:VEN524:ROM375:TYR369:GRE358:NAP334:ROM264:PIA180:VIE150:ROM140:MAR124:TUS100:NAP74:VEN65:MUN45:SER44:BOH36:BUD34:IOS22:TYS19:AES12:ALB11:GAL6:SPA6:EMS4:GOL3:BUR3:ADS2:BUL1:,TUN16970:NAP13607:APU5328:VEN4628:NAP3542:VEN3344:TRI3029:TYR2907:ROM2767:PIA2486:ROM2455:GRE2291:TUS1633:ROM1457:MAR934:IOS655:VIE645:TYS602:VEN557:NAP510:MUN470:BOH261:SER164:GOL160:ALB155:BUD113:ADS95:AES83:BUR70:SPA56:GAL44:SIL37:BUL33:EMS22:WMS12:GAS3:RUH2:RUM1:
10,1901FALG,MUN2584:HOL2515:KIE2055:BER1935:BEL1339:DEN1171:KIE1068:BER862:RUH650:MUN461:SWE384:KIE272:BUR242:SIL108:NTH95:BER86:TYR68:WAR60:PRU56:YOR53:PIA44:BOH42:PAR39:PIC37:VIE33:ENC32:MAR28:SKA26:WAL22:VEN21:LIV21:HEL17:GAL16:GOB15:TRI13:GAS12:BAL6:EDI5:FIN2:BUD1:ADS1:,HOL12442:MUN11871:BER10357:KIE8622:KIE6778:DEN5986:BEL5714:BER4347:RUH3806:MUN3673:KIE2119:SWE1661:BUR1311:SIL884:BER715:BOH498:TYR432:PRU398:WAR386:NTH355:YOR335:VIE253:HEL241:PIC213:PAR191:LIV177:PIA172:SKA146:ENC146:WAL138:MAR113:BAL112:GAL105:GOB95:VEN87:TRI73:EDI55:GAS55:DENVIACONVOY25:FIN7:ADS6:BUD6:UKR2:ALB2:SPA1:
11,1901FALA,BUD2553:GRE2390:VIE2161:ALB1504:TRI929:TRI695:RUM622:SER549:TRI498:BUD413:GAL341:BUL265:VEN204:VIE187:TYR114:IOS108:UKR71:WAR54:ADS50:SEV46:APU39:BOH37:MUN27:NAP20:ARM17:SIL13:BLA11:CON6:PRU5:PIA4:BUR1:,BUD12598:GRE10708:VIE10205:ALB7614:TRI4612:SER3916:TRI3670:BUD3250:RUM2248:VIE2171:TRI2163:GAL1706:BUL1213:ADS1136:VEN1096:TYR896:IOS790:UKR473:APU328:BOH270:WAR259:NAP203:SEV197:MUN196:SIL105:ARM64:BLA62:PIA56:PRU26:CON19:MAR16:BUR9:TUS1:ANK1:RUH1:
12,1901FALT,SMY3120:BUL2207:GRE1605:CON1422:BLA1346:ANK1303:CON1244:CON1082:RUM884:SEV571:ARM477:SMY456:ANK449:AES391:SER307:BUL181:ANK166:SMY108:BUD81:BUL67:GAL59:UKR52:APU24:IOS20:ALB12:NAP7:BULVIACONVOY3:SYR2:MUN1:,SMY13389:BUL7236:BLA5872:CON5851:GRE4936:ANK4562:CON4485:CON4061:RUM2947:ANK2241:SMY2103:AES2035:ARM1997:SEV1912:ANK1052:SER1007:SMY889:BUL633:BUL263:BUD226:UKR178:GAL154:IOS82:APU79:ALB57:SYR39:NAP28:BULVIACONVOY8:TRI4:MUN1:RUMVIACONVOY1:
13,1901FALR,SWE4082:RUM3487:WAR2555:MOS1960:STP1947:UKR1885:STP913:GAL893:SEV887:SEV775:SEV661:BLA388:WAR353:BUD337:NWY333:VIE310:FIN310:LIV302:STP268:GOB164:ARM153:SIL145:STP119:PRU114:BAL103:BER97:BOH74:MOS73:BUL68:CON54:TYR43:ANK41:MUN32:SER30:BUL17:BUR5:STP1:,SWE15497:RUM12466:WAR8636:MOS7658:UKR7169:STP5987:GAL4595:STP4297:SEV4229:SEV2966:SEV2239:WAR2118:LIV1754:BLA1697:GOB1549:FIN1359:STP1190:NWY1133:VIE1115:BUD1027:PRU852:SIL770:STP685:BAL683:ARM610:MOS577:BER286:BOH231:BUL217:SER163:TYR151:MUN150:BUL135:ANK135:CON117:BUR37:STP16:TRI4:DEN2:RUMVIACONVOY2:
14,1902SPRE,NTH1608:ENC1133:NWY975:LON813:NWG746:SKA722:SWE608:YOR480:EDI463:IRS395:BEL351:BAR349:HOL327:DEN303:WAL261:HEL252:STP228:STP201:PIC200:FIN145:MAO113:KIE77:BRE70:NAO67:RUH56:GOB54:BUR53:MUN22:PAR21:LVP19:SPA16:GAS14:CLY11:POR10:BAL9:LIV2:WMS1:NAF1:MAR1:SPA1:,NTH8490:NWY5836:ENC5649:LON5253:NWG4392:SKA3871:YOR3782:EDI2911:SWE2477:BAR2197:IRS2098:BEL1970:WAL1702:DEN1602:HOL1300:PIC1106:HEL1064:STP1023:STP975:FIN969:MAO606:NAO451:BRE375:GOB272:LVP245:KIE240:BUR221:RUH176:CLY146:MUN117:POR63:PAR50:GAS50:SPA44:BAL41:NAF39:WMS21:STPVIACONVOY16:SPA10:LIV8:MAR3:LONVIACONVOY2:BER1:SPA1:BELVIACONVOY1:PRU1:
15,1902SPRF,MAO2248:BUR1879:PIC1518:MAR1202:GAS1091:GOL1028:ENC931:SPA892:SPA839:POR476:PAR471:BEL417:RUH287:BRE280:HOL202:WMS200:PIA171:IRS103:WAL68:MUN64:NTH44:YOR43:BER36:SPA35:KIE35:NAO29:LON24:TYR24:TRI21:SIL17:NAF15:LVP12:EDI12:TUN10:DEN10:TUS10:VEN10:BOH5:TYS5:NWY4:NWG3:ROM2:HEL2:BELVIACONVOY1:VIE1:APU1:PRU1:,MAO11981:BUR9364:PIC8132:MAR6822:GAS6238:GOL5187:SPA5123:POR4092:SPA3994:ENC3837:PAR3317:BEL2060:BRE1820:RUH1230:PIA1174:WMS1009:HOL685:IRS537:SPA362:WAL283:NAO237:LON210:MUN209:TYR197:NTH142:YOR130:KIE119:SIL100:BER99:NAF94:TUN81:TUS76:BOH54:TRI53:VEN40:DEN37:LVP32:EDI30:TYS23:NWG9:CLY9:ROM7:NWY7:HEL5:APU5:PRU2:VIE2:SKA1:SPAVIACONVOY1:BELVIACONVOY1:
16,1902SPRI,IOS1284:TYS716:VEN677:TRI619:TYR522:TUN389:APU379:WMS373:NAP257:ALB251:PIA247:VIE224:EMS217:GRE137:AES134:TUS113:SER108:BUD100:ADS83:NAF69:ROM67:BOH66:BUL52:MAR51:GAL32:GAS26:MUN23:GOL22:BUR18:RUM15:SPA8:CON4:BER4:SIL4:BUL3:RUH3:KIE2:SMY1:,IOS9342:TYS7294:VEN5229:TUN4648:WMS4179:TYR4045:APU3779:TRI3187:PIA3165:NAP1994:TUS1857:EMS1404:ALB1298:ROM1194:NAF1174:VIE1003:GRE976:ADS827:AES739:BOH574:MAR538:SER466:GOL412:BUD293:MUN282:BUL209:GAL166:GAS146:BUR102:RUM97:SPA92:SIL46:BER36:CON36:BUL26:RUH23:KIE18:SMY14:SPA5:WAR4:SYR4:BLA3:PAR2:UKR2:PRU1:MAO1:ALBVIACONVOY1:BEL1:BUL1:BAL1:TUSVIACONVOY1:
17,1902SPRG,KIE1454:RUH1425:BAL1330:BEL1093:MUN1000:BUR955:SIL946:HOL880:DEN736:HEL697:PRU676:SWE604:BER310:NWY286:NTH254:SKA199:TYR193:PIC177:BOH116:YOR62:VIE58:LIV52:WAR49:GAS47:LON42:GOB33:GAL27:EDI26:PAR26:TRI26:ENC25:PIA24:MOS21:MAR21:FIN18:WAL15:VEN15:BRE10:STP5:SPA4:NWG4:BUD4:RUM2:ROM2:TUS2:STP1:APU1:UKR1:ADS1:MAO1:,RUH7894:KIE7499:BEL5742:MUN5701:BAL5324:HOL4930:SIL4075:DEN3664:HEL3651:BUR3423:PRU2693:SWE2322:BER2279:TYR1219:NWY1076:BOH1052:SKA911:NTH847:PIC766:VIE378:GAS246:WAR221:GOB193:LIV192:GAL180:YOR158:LON133:ENC109:MAR106:PIA99:MOS98:PAR87:VEN80:EDI75:FIN73:TRI68:WAL51:BRE50:STP37:BUD30:UKR17:SPA16:NWG11:ROM5:ALB4:TUS4:RUM4:APU4:DENVIACONVOY3:KIEVIACONVOY2:STP1:SEV1:ADS1:MAO1:
