,in,out1,out2
0,1901SpringE,"NTH3448,NWG2271,YOR1970,ENC1059,EDI976,WAL479,CLY5,","NTH23295,NWG14481,YOR13386,ENC6949,EDI5647,WAL3654,CLY72,LON6,LVP3,HOL1,NWY1,"
1,1901SpringF,"MAO2849,SPA2307,BUR2088,PIC1687,PAR648,GAS449,ENC440,PIA75,BRE16,MAR1,","MAO17869,SPA16283,BUR11576,PIC10968,GAS3148,PAR2545,ENC2195,PIA714,BRE270,MAR31,"
2,1901SpringI,"IOS2084,VEN803,APU788,TYR579,PIA439,NAP402,TYS308,TUS217,TRI177,ROM24,MUN2,VIE1,","IOS18967,APU7004,VEN6532,PIA6002,TYR4473,TYS4470,NAP4289,TUS3554,TRI1126,ROM226,MUN26,VIE4,TUN1,MAR1,"
3,1901SpringG,"KIE3599,DEN2704,RUH2492,HOL1250,BUR360,SIL239,PRU164,TYR112,BAL73,MUN66,HEL62,BOH41,BER13,VIE10,VEN5,","KIE19917,DEN14190,RUH14167,HOL9194,SIL2108,BUR1602,PRU1299,HEL772,TYR732,BAL634,BOH582,MUN502,BER118,VIE27,VEN21,"
4,1901SpringA,"SER3031,ALB2626,BUD982,TRI773,GAL732,RUM340,ADS243,TYR187,BOH59,VIE39,VEN27,MUN18,","SER18986,ALB14462,BUD6373,TRI5124,GAL3717,RUM3188,ADS2815,TYR1582,BOH657,VIE325,VEN212,MUN28,SEV1,"
5,1901SpringT,"BUL5311,CON3990,BLA2115,ARM1198,ANK454,SMY9,SYR3,","BUL24773,CON18643,BLA7991,ARM5301,ANK2168,SMY60,SYR26,SEV3,"
6,1901SpringR,"GOB4690,UKR4074,GAL2053,RUM1506,STP1126,BLA764,LIV356,SEV302,SIL259,FIN184,WAR158,PRU90,ARM52,MOS12,ANK1,","GOB22190,UKR18671,RUM8032,GAL7278,STP5150,BLA2802,LIV2613,SEV1732,SIL1295,FIN935,WAR732,PRU596,ARM331,MOS148,STP(SouthCoast)6,ANK4,"
7,1901FallE,"NWY3050,fleetLON2133,YOR1779,fleetEDI1243,BEL1055,EDI983,armyLON517,DEN489,fleetLVP479,armyEDI414,WAL394,HOL244,BAR186,LON170,BRE154,NTH135,armyLVP117,ENC112,MAO65,SKA61,PIC54,NWG42,BUR11,RUH10,CLY6,LVP5,NAO4,IRS2,HEL2,","NWY18315,YOR11126,fleetLON11010,fleetEDI6616,EDI5655,BEL4733,WAL2693,fleetLVP2668,armyLON2657,armyEDI2071,DEN1981,LON1912,NTH1830,ENC1619,BAR1482,HOL1000,BRE927,armyLVP655,NWG613,SKA517,MAO398,PIC356,RUH133,BUR90,NAO88,IRS70,LVP52,HEL49,CLY42,KIE2,LONVIACONVOY1,POR1,"
8,1901FallF,"POR3008,armyPAR2890,fleetBRE2306,BEL1832,fleetMAR1533,SPA1307,armyMAR862,SPA(SouthCoast)430,armyBRE402,PIC284,MUN241,BUR238,MAR182,MAO176,BRE138,ENC136,RUH79,SPA(NorthCoast)57,LON50,TYR49,PAR46,YOR43,GAS42,WMS39,PIA31,IRS30,DEN25,NTH17,WAL16,VEN11,EDI10,TUS9,NAO7,TRI6,NAF6,BOH6,HOL2,ADS2,HEL2,","POR17374,armyPAR16237,fleetBRE10542,BEL8160,fleetMAR7759,SPA6986,armyMAR5419,armyBRE2493,SPA(SouthCoast)2103,MAR2031,PIC2020,BUR2008,BRE1893,MAO1565,MUN1011,ENC757,PAR598,SPA(NorthCoast)536,GAS458,RUH334,WMS291,TYR231,YOR207,LON164,PIA159,IRS157,WAL121,NTH105,TUS105,EDI76,DEN75,TRI52,VEN52,NAF36,NAO34,SIL28,BOH17,HOL14,ADS8,HEL3,KIE1,"
9,1901FallI,"TUN1776,fleetNAP1684,APU668,armyVEN642,TRI598,VEN524,armyROM375,TYR369,GRE358,NAP334,fleetROM264,PIA180,VIE150,ROM140,MAR124,TUS100,armyNAP74,fleetVEN65,MUN45,SER44,BOH36,BUD34,IOS22,TYS19,AES12,ALB11,GAL6,SPA6,EMS4,GOL3,BUR3,ADS2,BUL1,","TUN16970,fleetNAP13607,APU5328,VEN4628,NAP3542,armyVEN3344,TRI3029,TYR2907,fleetROM2767,PIA2486,armyROM2455,GRE2291,TUS1633,ROM1457,MAR934,IOS655,VIE645,TYS602,fleetVEN557,armyNAP510,MUN470,BOH261,SER164,GOL160,ALB155,BUD113,ADS95,AES83,BUR70,SPA56,GAL44,SIL37,BUL33,EMS22,WMS12,GAS3,RUH2,RUM1,"
10,1901FallG,"armyMUN2584,HOL2515,fleetKIE2055,armyBER1935,BEL1339,DEN1171,armyKIE1068,fleetBER862,RUH650,MUN461,SWE384,KIE272,BUR242,SIL108,NTH95,BER86,TYR68,WAR60,PRU56,YOR53,PIA44,BOH42,PAR39,PIC37,VIE33,ENC32,MAR28,SKA26,WAL22,VEN21,LIV21,HEL17,GAL16,GOB15,TRI13,GAS12,BAL6,EDI5,FIN2,BUD1,ADS1,","HOL12442,armyMUN11871,armyBER10357,fleetKIE8622,armyKIE6778,DEN5986,BEL5714,fleetBER4347,RUH3806,MUN3673,KIE2119,SWE1661,BUR1311,SIL884,BER715,BOH498,TYR432,PRU398,WAR386,NTH355,YOR335,VIE253,HEL241,PIC213,PAR191,LIV177,PIA172,SKA146,ENC146,WAL138,MAR113,BAL112,GAL105,GOB95,VEN87,TRI73,EDI55,GAS55,DENVIACONVOY25,FIN7,ADS6,BUD6,UKR2,ALB2,SPA1,"
